Job_ID,Job_Title,Company,Location,Department,Salary,Posted_Date,Applications_Received,Skills_Required,Status,Experience_Required
79,Executive,Medicare,Sharjah,Marketing,16043,2025-03-20,199,"Java, Python",Open,5
80,Executive,ABC Corp,Sharjah,HR,7440,2025-03-21,60,"Java, Python",Closed,3
81,Specialist,ABC Corp,Abu Dhabi,Marketing,24150,2025-03-22,126,"Marketing, Sales",Open,9
82,Analyst,GlobalTech,Ras Al Khaimah,HR,9644,2025-03-23,104,"Java, Python",Open,1
83,Specialist,ABC Corp,Dubai,IT,14518,2025-03-24,166,"Java, Python",Open,7
84,Specialist,XYZ Ltd,Ajman,Finance,18552,2025-03-25,0,"Java, Python",Open,5
85,Analyst,XYZ Ltd,Dubai,HR,6914,2025-03-26,130,"Java, Python",Open,4
86,Analyst,FinServ,Ras Al Khaimah,IT,17584,2025-03-27,91,"Excel, Power BI",Open,8
87,Analyst,Medicare,Ajman,Marketing,16144,2025-03-28,189,"Excel, Power BI",Closed,0
88,Analyst,ABC Corp,Ras Al Khaimah,Marketing,18397,2025-03-29,190,"Marketing, Sales",Open,4
89,Executive,ABC Corp,Sharjah,IT,12787,2025-03-30,112,"Python, SQL",Open,5
90,Developer,GlobalTech,Ajman,Marketing,0,2025-03-31,152,"Java, Python",Closed,4
91,Developer,XYZ Ltd,Sharjah,IT,4728,2025-04-01,55,"Python, SQL",Closed,5
92,Analyst,Medicare,Dubai,HR,21749,2025-04-02,160,"Python, SQL",Closed,5
93,Developer,FinServ,Dubai,HR,24876,2025-04-03,165,"Marketing, Sales",Closed,6
94,Developer,XYZ Ltd,Ajman,IT,4698,2025-04-04,116,"Java, Python",Closed,3
95,Analyst,FinServ,Ajman,HR,11186,2025-04-05,133,"Java, Python",Closed,7
96,Developer,GlobalTech,Ras Al Khaimah,HR,18512,2025-04-06,57,"Finance, Accounting",Closed,6
97,,GlobalTech,Ras Al Khaimah,HR,17923,2025-04-07,43,"Python, SQL",Open,8
98,Manager,ABC Corp,Sharjah,Sales,20779,2025-04-08,0,"Python, SQL",Open,6
99,Manager,Medicare,Ajman,Finance,11400,2025-04-09,159,"Excel, Power BI",Closed,2
100,Analyst,FinServ,Dubai,Marketing,8171,2025-04-10,172,"Finance, Accounting",Open,2
